# OUI vendor lookup table - generated by scripts/update_oui.ps1
# Source: https://www.wireshark.org/download/automated/data/manuf
# Format: <6-hex-lowercase-prefix><TAB><Vendor Name>
# 24-bit MA-L entries only.

000000	00:00:00
000001	Xerox
000002	Xerox
000003	Xerox
000004	Xerox
000005	Xerox
000006	Xerox
000007	Xerox
000008	Xerox
000009	Xerox
00000a	OmronTateisi
00000b	Matrix
00000c	Cisco
00000d	Fibronics
00000e	Fujitsu
00000f	Next
000010	Sytek
000011	NormerelSyst
000012	InformationT
000013	Camex
000014	Netronix
000015	Datapoint
000016	DuPontPixel
000017	Oracle
000018	WebsterCompu
000019	AppliedDynam
00001a	AMD
00001b	Novell
00001c	BellTechnolo
00001d	Cabletron
00001e	TelsistIndus
00001f	Telco
000020	Dataindustri
000021	SuremanCompC
000022	VisualTechno
000023	AbbIndustria
000024	ConnectAs
000025	Ramtek
000026	ShaKen
000027	JapanRadio
000028	Prodigy
000029	ImcNetworks
00002a	TrwSeddInp
00002b	CrispAutomat
00002c	Autotote
00002d	Chromatics
00002e	SocieteEvira
00002f	Timeplex
000030	VgLaboratory
000031	QpsxCommunic
000032	Marconi
000033	EganMachiner
000034	NetworkResou
000035	Spectragraph
000036	Atari
000037	OxfordMetric
000038	CssLabs
000039	Toshiba
00003a	Chyron
00003b	iControls
00003c	Auspex
00003d	Unisys
00003e	Simpact
00003f	Syntrex
000040	Applicon
000041	Ice
000042	MetierManage
000043	MicroTechnol
000044	Castelle
000045	FordAerospac
000046	OlivettiNort
000047	NicoletInstr
000048	SeikoEpson
000049	ApricotCompu
00004a	AdcCodenollT
00004b	IclData
00004c	NEC
00004d	Dci
00004e	Ampex
00004f	Logicraft
000050	Radisys
000051	HobElectroni
000052	Intrusioncom
000053	Compucorp
000054	SchneiderEle
000055	Commissariat
000056	DrBStruck
000057	Scitex
000058	RacoreComput
000059	Hellige
00005a	SysKonnect
00005b	EltecElektro
00005c	TelematicsIn
00005d	CsTelecom
